title,popularity,vote_count,vote_average,genre,release_year
The Hobbit: The Battle of the Five Armies,168.034,11790,7.3,"Action, Adventure, Fantasy",2014
Major Grom: Plague Doctor,168.017,405,6.8,"Action, Adventure",2021
Monster Family 2,167.912,28,7.1,"Animation, Family",2021
Gunpowder Milkshake,167.503,525,6.4,"Action, Crime, Thriller",2021
Beautiful Sisters: Flesh Slave,167.255,4,4,"Crime, Horror",1986
Narco Sub,166.671,183,6.7,"Action, Drama, Crime",2021
Harry Potter and the Order of the Phoenix,166.458,16081,7.7,"Adventure, Fantasy, Mystery",2007
Legend,165.617,2856,6.9,"Crime, Thriller",2015
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,165.462,279,8.2,"Animation, Comedy, Mystery, Family, Fantasy",2021
Descendants: The Royal Wedding,165.257,97,7,"TV Movie, Animation, Comedy, Family, Drama",2021
Kung Fu Panda 2,65.382,5468,6.9,"Animation, Family",2011
Frozen II,164.81,8052,7.3,"Family, Animation, Adventure, Comedy, Fantasy",2019
Swim,164.687,27,7.5,"Horror, Action",2021
Mutation on Mars,164.623,22,6.6,"Drama, Science Fiction",2021
Zone 414,164.567,151,5.5,"Science Fiction, Thriller, Mystery",2021
Harry Potter and the Deathly Hallows: Part 2,163.782,16964,8.1,"Fantasy, Adventure",2011
Avengers: Age of Ultron,163.611,19473,7.3,"Action, Adventure, Science Fiction",2015
Thor: Ragnarok,163.564,17313,7.6,"Action, Adventure, Fantasy, Science Fiction",2017
It Chapter Two,162.984,6739,6.9,"Horror, Fantasy",2019
The Lion King,162.049,15064,8.3,"Family, Animation, Drama",1994
King Richard,161.55,845,8,"Drama, History",2021
Last Night in Soho,161.493,1360,7.5,"Thriller, Horror, Mystery",2021
Batman Returns,161.321,5075,6.9,"Action, Fantasy",1992
The Twilight Saga: Eclipse,161.157,7381,6.2,"Adventure, Fantasy, Drama, Romance",2010
Wild Indian,161.074,21,6.4,"Crime, Drama, Thriller",2021
Project X,160.9,5048,6.8,Comedy,2012
The Protégé,160.697,531,6.6,Action,2021
Ida Red,160.579,25,5.9,"Crime, Thriller, Drama, Action",2021
The Haunting of Helena,159.578,119,5.6,"Horror, Thriller",2013
Vanguard,159.416,395,6.3,"Action, Adventure, Crime",2020
Pirates of the Caribbean: The Curse of the Black Pearl,159.245,17095,7.8,"Adventure, Fantasy, Action",2003
"The Simpsons: The Good, the Bart, and the Loki",159.137,510,7.5,"Animation, Comedy, Family",2021
The Marksman,158.638,1118,7,"Action, Thriller, Crime",2021
Vicky and Her Mystery,158.14,287,7.3,"Adventure, Family, Drama",2021
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,158.094,362,8.4,"Animation, Adventure, Comedy, Fantasy",2019
7 Prisoners,158.066,216,7.1,"Drama, Crime",2021
11M,157.39,11,6.5,Documentary,2022
Seobok: Project Clone,156.421,110,7.6,"Science Fiction, Action",2021
Shrek 2,155.923,9736,7.2,"Animation, Family, Comedy, Fantasy, Adventure",2004
Percy Jackson & the Olympians: The Lightning Thief,155.793,6222,6.2,"Adventure, Fantasy, Family",2010
Your Name.,155.483,8426,8.5,"Romance, Animation, Drama",2016
Chief Daddy 2: Going for Broke,155.401,59,5.9,Comedy,2021
Captain America: Civil War,155.386,19474,7.4,"Adventure, Action, Science Fiction",2016
Joker,155.06,20016,8.2,"Crime, Thriller, Drama",2019
Jack Reacher,154.981,5678,6.6,"Crime, Drama, Thriller, Action",2012
The Invisible Thread,154.77,43,6.7,"Comedy, Drama",2022
SAS: Red Notice,154.104,344,5.9,"Drama, Action, Thriller",2021
Mulan,153.973,5520,7,"Adventure, Fantasy, Drama",2020
I Want You Back,153.819,89,6.1,"Comedy, Romance",2022
Pirates of the Caribbean: Dead Man's Chest,152.964,13140,7.3,"Adventure, Fantasy, Action",2006
Ninja Assassin,152.29,1115,6.5,Action,2009
The Wolf of Wall Street,152.102,19325,8,"Crime, Drama, Comedy",2013
Hilda and the Mountain King,151.978,50,7.4,"Animation, Adventure, Fantasy, Family, TV Movie",2021
Rurouni Kenshin: The Beginning,151.971,252,7.8,"Action, Adventure, Drama",2021
Minnal Murali,151.512,192,7.2,"Action, Adventure, Comedy",2021
Pokémon: Mewtwo Strikes Back - Evolution,150.992,366,6.7,"Animation, Adventure, Fantasy, Action, Family",2019
Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,150.735,4,7,"Animation, Action, Adventure, Fantasy",2021
Teenage Mutant Ninja Turtles,150.428,5774,5.9,"Science Fiction, Action, Adventure, Comedy",2014
Fifty Shades of Grey,150.025,10087,5.9,"Drama, Romance, Thriller",2015
Never Back Down: Revolt,149.856,45,6.6,Action,2021
Wish Dragon,149.833,783,8.1,"Animation, Family, Comedy, Fantasy",2021
Ice Age,149.753,10875,7.3,"Animation, Comedy, Family, Adventure",2002
Fast & Furious Presents: Hobbs & Shaw,149.514,5643,6.9,"Action, Adventure, Comedy",2019
Toy Story 2,149.026,11384,7.6,"Animation, Comedy, Family",1999
Sweet Girl,148.93,850,6.8,Action,2021
The Stronghold,148.876,710,7.5,Thriller,2021
Spirit Untamed,148.797,350,7.5,"Animation, Adventure, Family, Western",2021
Tom Clancy's Without Remorse,148.326,1843,7.1,"Action, Thriller",2021
Harry Potter and the Deathly Hallows: Part 1,148.183,15751,7.8,"Adventure, Fantasy",2010
Injustice,148.17,497,7.8,"Animation, Science Fiction, Fantasy, Action",2021
Nobody Sleeps in the Woods Tonight 2,148.013,148,4,"Horror, Thriller, Comedy",2021
American Badger,147.77,26,5.9,Action,2021
Evangelion: 3.0+1.0 Thrice Upon a Time,147.761,468,8.5,"Animation, Action, Science Fiction, Drama",2021
LOL Surprise: The Movie,147.703,87,6.8,"Animation, Family",2021
Coraline,146.97,5590,7.8,"Animation, Family, Fantasy",2009
The Bad Guys,146.548,0,0,"Animation, Comedy, Action, Family, Crime",2022
Venom,145.852,12992,6.9,"Science Fiction, Action",2018
The Last Mercenary,145.719,462,6.8,"Action, Comedy",2021
Cars 2,145.286,6120,6,"Animation, Family, Adventure, Comedy",2011
Downfall: The Case Against Boeing,144.833,55,7.4,Documentary,2022
Ratatouille,144.804,13683,7.8,"Animation, Comedy, Family, Fantasy",2007
Mickey and Minnie Wish Upon a Christmas,144.605,81,7.2,Animation,2021
Dragon Ball Z: Broly – The Legendary Super Saiyan,144.38,638,7.2,"Animation, Science Fiction, Action",1993
Doctor Strange in the Multiverse of Madness,144.134,0,0,"Fantasy, Action, Adventure",2022
Death on the Nile,143.637,551,6.7,"Mystery, Crime, Drama, Thriller",2022
Army of the Dead,143.486,2905,6.3,"Action, Crime, Horror, Thriller",2021
Home Sweet Home Alone,143.382,375,5.2,"Family, Comedy",2021
Carriers,142.571,1033,6.1,"Action, Drama, Horror, Science Fiction, Thriller",2009
Boyka: Undisputed IV,142.376,974,7,"Action, Drama",2016
2012,141.749,10288,5.8,"Action, Adventure, Science Fiction",2009
Why Women Cheat,141.695,3,3.3,Romance,2021
Sing,141.063,6642,7.1,"Animation, Comedy, Family, Music",2016
Green Lantern,140.802,6080,5.2,"Adventure, Action, Thriller, Science Fiction",2011
Peninsula,140.744,1830,6.9,"Action, Horror, Thriller",2020
Ted 2,139.67,6068,6.3,Comedy,2015
High School Teacher: Maturing,139.468,7,5.9,Drama,1985
Wonder Woman,139.314,17438,7.3,"Action, Adventure, Fantasy",2017
A Day to Die,139.22,9,4.7,"Action, Thriller, Crime",2022
Cosmic Sin,138.799,420,4.2,"Action, Adventure, Science Fiction",2021
